Zona,V_total_M,V_avg_M,V_total_F,V_avg_F,V_total,V_Md_Otro_M,V_Md_Bus_M,V_Md_Auto_M,V_Md_Tx_M,V_Md_Bc_M,V_Md_Mt_M,V_Md_Peat_M,V_Md_Mult_M,V_Md_TE_M,V_Md_total_M,V_Md_Otro_F,V_Md_Bus_F,V_Md_Auto_F,V_Md_Tx_F,V_Md_Bc_F,V_Md_Mt_F,V_Md_Peat_F,V_Md_Mult_F,V_Md_TE_F,V_Md_total_F,V_Mt_H_M,V_Mt_T_M,V_Mt_E_M,V_Mt_MC_M,V_Mt_Esp_M,V_Mt_Soc_M,V_Mt_Sal_M,V_Mt_Ot_M,V_Mt_Total_M,V_Mt_H_F,V_Mt_T_F,V_Mt_E_F,V_Mt_MC_F,V_Mt_Esp_F,V_Mt_Soc_F,V_Mt_Sal_F,V_Mt_Ot_F,V_Mt_Total_F,V_AvgTP_M,V_AvgTP_F,,,
1,3178,2.50,3178,1.50,6356,0,3178,0,0,0,0,0,0,0,3178,0,3178,0,0,0,0,0,0,0,3178,1589,397,1192,0,0,0,0,0,3178,1589,794,794,0,0,0,0,0,3177,23.12,18.75,,,
2,794,1.50,1589,2.50,2383,0,0,0,0,0,0,794,0,0,794,0,0,0,0,0,0,1589,0,0,1589,397,397,0,0,0,0,0,0,794,794,0,0,0,0,0,397,397,1588,5.00,22.50,,,
3,1986,1.80,1192,2.00,3178,0,794,794,397,0,0,0,0,0,1985,0,794,0,397,0,0,0,0,0,1191,794,794,0,0,0,397,0,0,1985,397,0,0,0,0,397,397,0,1191,15.00,11.67,,,
4,4767,1.50,7150,1.50,11917,0,2383,0,0,0,0,2383,0,0,4766,0,1589,0,794,0,0,4767,0,0,7150,2383,1589,397,0,0,0,0,397,4766,3575,1589,1192,0,0,0,0,794,7150,28.75,19.44,,,
5,5561,1.79,5561,1.50,11122,0,397,794,1192,0,0,3178,0,0,5561,0,2383,0,794,0,0,2383,0,0,5560,2781,2383,0,0,397,0,0,0,5561,2781,794,1589,0,0,0,0,397,5561,14.79,22.14,,,
6,4370,1.64,5561,1.50,9931,0,1589,0,0,0,0,2781,0,0,4370,0,2383,794,0,0,0,2383,0,0,5560,1589,1589,794,0,0,397,0,0,4369,2781,1192,794,0,0,397,0,397,5561,37.00,30.00,,,
7,27807,1.61,27807,1.56,55614,0,9931,6356,1192,0,1192,8739,0,397,27807,0,5561,2383,3178,0,0,16684,0,0,27806,13506,6356,3972,1192,794,1589,0,397,27806,13903,2383,9137,0,794,794,397,397,27805,27.93,22.00,,,
8,8063,1.70,11288,1.64,19351,0,3628,0,0,0,403,4031,0,0,8062,0,8063,0,0,0,0,3225,0,0,11288,4031,1411,1613,403,202,0,0,403,8063,5644,1613,2419,403,403,0,0,806,11288,21.00,27.27,,,
9,4838,1.50,6853,1.50,11691,0,1613,0,0,0,0,3225,0,0,4838,0,4435,403,806,0,0,1209,0,0,6853,2217,1411,806,202,0,0,0,202,4838,3427,1411,1613,0,0,403,0,0,6854,23.12,27.20,,,
10,6853,1.50,6450,1.50,13303,0,2217,1209,403,0,806,1814,0,403,6852,0,3225,806,403,0,0,2016,0,0,6450,3427,1814,1209,202,0,0,0,202,6854,3225,1411,605,605,202,0,0,403,6451,24.27,23.44,,,
11,7861,1.79,5241,1.50,13102,403,2217,4233,0,0,806,202,0,0,7861,0,2016,1411,605,0,806,403,0,0,5241,3628,2217,403,806,0,403,0,403,7860,2620,605,806,403,0,202,202,403,5241,15.90,28.46,,,
12,8869,1.68,6853,1.50,15722,0,4031,2822,0,0,1008,202,0,806,8869,0,3830,1209,605,0,403,806,0,0,6853,4233,1814,1209,806,0,202,0,605,8869,3427,1814,1209,0,0,0,0,403,6853,21.36,18.68,,,
13,2573,1.92,1188,1.50,3761,0,396,1188,0,0,0,990,0,0,2574,0,198,396,0,0,0,594,0,0,1188,1188,198,594,396,0,198,0,0,2574,594,0,396,198,0,0,0,0,1188,17.31,25.83,,,
14,11084,1.77,18407,1.82,29491,0,2573,3959,396,0,0,2177,0,1979,11084,0,4948,5938,1583,792,0,5146,0,0,18407,5344,2969,1188,792,396,198,0,198,11085,9105,2375,2375,2375,198,594,792,594,18408,23.57,23.66,,,
15,18537,2.35,23171,2.14,41708,0,5600,5986,0,1545,1159,3089,0,1159,18538,386,10813,3283,193,386,386,6951,0,772,23170,8882,3283,1931,1931,386,1159,386,579,18537,10427,3089,3669,1931,193,1159,965,1738,23171,22.45,27.92,,,
16,17378,1.56,17185,1.94,34563,0,4441,6951,0,193,386,3089,386,1931,17377,0,5407,4248,579,1352,0,5600,0,0,17186,8496,5407,2124,965,0,193,193,0,17378,8496,3476,1931,2124,193,0,193,772,17185,23.18,23.43,,,
17,4441,2.43,3476,1.94,7917,0,965,772,386,772,386,1159,0,0,4440,0,1352,1352,193,0,0,579,0,0,3476,2124,386,772,579,193,193,0,193,4440,1738,0,965,386,193,0,0,193,3475,24.13,27.22,,,
18,31281,1.96,30701,2.11,61982,0,6565,3089,193,1159,4055,15833,0,386,31280,0,9075,1352,579,386,1352,17764,193,0,30701,15254,4248,4827,2317,1352,1738,193,1352,31281,14289,3283,3669,5213,772,965,386,2124,30701,26.63,23.21,,,
19,25681,2.10,26067,1.87,51748,386,5020,5213,193,1159,3476,10234,0,0,25681,0,6372,1545,193,1931,0,15254,386,386,26067,12165,5213,4248,1931,386,965,386,386,25680,12744,2510,4441,3476,772,579,579,965,26066,27.65,25.75,,,
20,9655,1.66,11006,2.19,20661,0,3089,3862,0,386,772,772,0,772,9653,0,3089,3089,0,0,0,4441,0,386,11005,4827,1931,1931,579,193,193,0,0,9654,5600,1352,1738,2124,0,193,0,0,11007,20.80,23.95,,,
21,7531,1.74,10041,1.65,17572,0,1738,3476,193,0,0,1159,193,772,7531,0,2703,2703,772,772,0,2317,386,386,10039,3862,1352,1159,386,193,193,193,193,7531,5020,1159,1352,1352,193,386,193,386,10041,26.84,32.11,,,
22,1931,1.90,1545,1.50,3476,0,386,772,0,0,386,386,0,0,1930,0,386,772,0,0,0,386,0,0,1544,965,772,193,0,0,0,0,0,1930,772,386,193,0,0,193,0,0,1544,16.00,16.25,,,
23,51803,2.23,37895,2.07,89698,0,9474,20157,3427,403,5644,10482,202,2016,51805,0,10885,7055,5442,0,3427,9272,202,1613,37896,24390,11086,6249,4636,2016,806,806,1814,51803,17335,7055,5241,3628,806,806,2016,1008,37895,23.05,23.33,,,
24,29429,1.99,19552,1.77,48981,0,7257,12497,0,1209,1613,5644,403,806,29429,0,9272,2419,806,0,0,6652,0,403,19552,13908,7660,3427,2419,806,806,403,0,29429,9272,4435,2217,1613,0,605,1008,403,19553,29.79,31.65,,,
25,22374,1.87,24390,2.25,46764,0,8264,2822,0,806,4838,5644,0,0,22374,0,9071,806,1411,1209,2822,8668,0,403,24390,10885,5644,3830,1209,0,202,202,403,22375,11489,2822,3024,2822,202,1209,403,2419,24390,31.00,26.14,,,
26,19754,1.73,17133,1.94,36887,403,9474,4233,403,806,403,3225,0,806,19753,0,7458,2620,403,0,605,5644,0,403,17133,8466,3427,3628,806,403,2217,202,605,19754,7660,4233,1613,806,0,202,1008,1613,17135,30.56,32.12,,,
27,32453,2.01,31848,1.82,64301,0,13304,14513,403,0,1613,1613,0,1008,32454,0,16126,7458,1814,0,403,3225,403,2419,31848,15319,8063,4031,2016,1209,403,605,806,32452,15521,4636,4435,1613,1008,1008,2016,1613,31850,29.81,32.56,,,
28,11489,1.81,11893,2.08,23382,0,6249,2016,403,0,0,2419,403,0,11490,0,4031,806,403,0,0,6652,0,0,11892,5644,2822,1008,403,0,806,202,605,11490,5039,2620,806,2016,202,605,202,403,11893,30.78,20.35,,,
29,9474,1.60,6047,1.63,15521,0,3427,4233,202,0,806,806,0,0,9474,0,3427,1008,0,0,403,1209,0,0,6047,4435,2620,1209,403,0,202,0,605,9474,3024,1209,806,403,0,0,0,605,6047,32.56,30.84,,,
30,30034,2.59,30639,2.41,60673,806,8869,7660,605,403,3830,6450,806,605,30034,0,7458,4031,1613,0,3225,14311,0,0,30638,13707,5846,4031,2822,202,806,403,2217,30034,14311,3628,2822,5241,403,1613,605,2016,30639,25.42,19.98,,,
31,13003,2.00,10277,1.86,23280,0,4404,3775,0,0,3985,839,0,0,13003,0,6082,1678,210,0,0,2307,0,0,10277,6292,2936,1049,419,629,629,210,839,13003,5034,1888,839,1468,629,0,419,0,10277,29.41,36.94,,,
32,3565,1.82,5872,1.79,9437,0,0,3565,0,0,0,0,0,0,3565,0,839,5034,0,0,0,0,0,0,5873,1468,1049,419,629,0,0,0,0,3565,3146,629,1468,629,0,0,0,0,5872,23.53,22.85,,,
33,16149,1.82,13423,1.56,29572,0,2936,7131,0,839,1888,3356,0,0,16150,0,3775,2726,0,0,0,6502,0,419,13422,7341,4824,1468,2097,0,419,0,0,16149,6292,2517,1678,2307,0,629,0,0,13423,23.90,25.31,,,
34,16359,1.82,16988,2.03,33347,0,5034,8389,0,419,1678,419,419,0,16358,0,7341,6921,0,1468,0,1258,0,0,16988,7760,5034,1678,839,0,210,629,210,16360,7970,2517,2936,2307,0,419,839,0,16988,41.40,32.72,,,
